index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	label2	label3	label4	label5	gold_label
5599								Person drinking beer.	Person drinking whisky.						contradiction
5595								Person drinking beer.	Person drinking gin.						contradiction
1903								A young woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	A senior woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.						contradiction
1902								A young woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	An elderly woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.						contradiction
1900								A young woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	A young woman gazes out the window at the moon while taking a break from sweeping a broken brown pot.						contradiction
1901								A young woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	A young woman gazes out the window at the sun while taking a break from sweeping a broken black pot.						contradiction
1904								A young woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	An old woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.						contradiction
602								2 refs sitting on a bench waiting for the soccer game to start.	12 refs sitting on a bench waiting for the soccer game to start.						contradiction
600								2 refs sitting on a bench waiting for the soccer game to start.	2 refs sitting on a bench waiting for the soccer game to end.						contradiction
601								2 refs sitting on a bench waiting for the soccer game to start.	2 refs sitting on a bench waiting for the soccer game to finish.						contradiction
604								2 refs sitting on a bench waiting for the soccer game to start.	7 refs sitting on a bench waiting for the soccer game to start.						contradiction
603								2 refs sitting on a bench waiting for the soccer game to start.	8 refs sitting on a bench waiting for the soccer game to start.						contradiction
1384								An old women is looking at the sun.	An early women is looking at the sun.						contradiction
1380								An old women is looking at the sun.	An old women is looking at the moon.						contradiction
1381								An old women is looking at the sun.	A junior women is looking at the sun.						contradiction
1382								An old women is looking at the sun.	A teenage women is looking at the sun.						contradiction
4833								A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, celery, cucumbers, limes, apples and cauliflower with another person.						contradiction
4834								A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, celery, eggplants, limes, apples and cauliflower with another person.						contradiction
4851								A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, eggplant, onions, limes, apples and cauliflower with another person.						contradiction
4779								A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, avocado, onions, limes, apples and cauliflower with another person.						contradiction
4852								A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, celery, tomatoes, limes, apples and cauliflower with another person.						contradiction
5266								The old man is at a bar drinking beer.	The old man is at a bar drinking vodka.						contradiction
5265								The old man is at a bar drinking beer.	The old man is at a bar drinking cider.						contradiction
5269								The old man is at a bar drinking beer.	The old man is at a bar drinking tequila.						contradiction
5267								The old man is at a bar drinking beer.	The old man is at a bar drinking gin.						contradiction
5268								The old man is at a bar drinking beer.	The old man is at a bar drinking whisky.						contradiction
5624								Some people in a restaurant drinking wine.	Some people in a restaurant drinking vodka.						contradiction
5621								Some people in a restaurant drinking wine.	Some people in a restaurant drinking tequila.						contradiction
5622								Some people in a restaurant drinking wine.	Some people in a restaurant drinking whisky.						contradiction
5620								Some people in a restaurant drinking wine.	Some people in a restaurant drinking cider.						contradiction
5623								Some people in a restaurant drinking wine.	Some people in a restaurant drinking gin.						contradiction
8261								The man is wearing a yellow shirt and playing a piano.	The man is wearing a yellow shirt and playing a french horn.						contradiction
8260								The man is wearing a yellow shirt and playing a piano.	The man is wearing a yellow shirt and playing an electric guitar.						contradiction
8263								The man is wearing a yellow shirt and playing a piano.	The man is wearing a yellow shirt and playing a flute.						contradiction
8262								The man is wearing a yellow shirt and playing a piano.	The man is wearing a yellow shirt and playing an acoustic guitar.						contradiction
8264								The man is wearing a yellow shirt and playing a piano.	The man is wearing a yellow shirt and playing an instrument.						entailment
8013								There is a man wearing a hat and playing the harmonica.	There is a man wearing a hat and playing the tuba.						contradiction
8014								There is a man wearing a hat and playing the harmonica.	There is a man wearing a hat and playing the harp.						contradiction
8010								There is a man wearing a hat and playing the harmonica.	There is a man wearing a hat and playing the banjo.						contradiction
8012								There is a man wearing a hat and playing the harmonica.	There is a man wearing a hat and playing the oboe.						contradiction
8011								There is a man wearing a hat and playing the harmonica.	There is a man wearing a hat and playing the clarinet.						contradiction
5554								A group of young men and women joyously drinking beer	A group of young men and women joyously drinking tequila						contradiction
5550								A group of young men and women joyously drinking beer	A group of young men and women joyously drinking cider						contradiction
5553								A group of young men and women joyously drinking beer	A group of young men and women joyously drinking gin						contradiction
5551								A group of young men and women joyously drinking beer	A group of young men and women joyously drinking champagne						contradiction
5552								A group of young men and women joyously drinking beer	A group of young men and women joyously drinking whisky						contradiction
1257								The bubbles carry small animals to the moon.	The bubbles carry little animals to the moon.						entailment
1256								The bubbles carry small animals to the moon.	The bubbles carry large animals to the moon.						contradiction
1258								The bubbles carry small animals to the moon.	The bubbles carry big animals to the moon.						contradiction
1255								The bubbles carry small animals to the moon.	The bubbles carry small animals to the sun.						contradiction
1314								The old man is protecting his eyes from the sun.	The young man is protecting his eyes from the sun.						contradiction
4111								A small dog is sleeping on the couch.	A tiny dog is sleeping on the couch.						entailment
4110								A small dog is sleeping on the couch.	A small dog is sleeping on the sofa.						entailment
4114								A small dog is sleeping on the couch.	A great dog is sleeping on the couch.						contradiction
4112								A small dog is sleeping on the couch.	A little dog is sleeping on the couch.						entailment
3815								The little girl is spending time with her dad.	The little girl is spending time with her father.						entailment
3817								The little girl is spending time with her dad.	The small girl is spending time with her dad.						entailment
3816								The little girl is spending time with her dad.	The tiny girl is spending time with her dad.						entailment
8224								Two men wearing black clothes and hats, one is playing the saxophone and one is playing the trumpet.	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the harmonica.						contradiction
8220								Two men wearing black clothes and hats, one is playing the saxophone and one is playing the trumpet.	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the clarinet.						contradiction
8223								Two men wearing black clothes and hats, one is playing the saxophone and one is playing the trumpet.	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the oboe.						contradiction
8222								Two men wearing black clothes and hats, one is playing the saxophone and one is playing the trumpet.	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the cello.						contradiction
8221								Two men wearing black clothes and hats, one is playing the saxophone and one is playing the trumpet.	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the tuba.						contradiction
3793								A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a sizable body of water.						contradiction
3794								A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a massive body of water.						contradiction
3792								A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a little body of water.						entailment
3791								A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a tiny body of water.						entailment
3790								A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area close to a small body of water.						entailment
4970								A man wearing a black shirt with glasses slicing a tomato.	A man wearing a black shirt with glasses slicing a potato.						contradiction
4971								A man wearing a black shirt with glasses slicing a tomato.	A man wearing a silver shirt with glasses slicing a tomato.						contradiction
4972								A man wearing a black shirt with glasses slicing a tomato.	A man wearing a white shirt with glasses slicing a tomato.						contradiction
4974								A man wearing a black shirt with glasses slicing a tomato.	A woman wearing a black shirt with glasses slicing a tomato.						contradiction
4973								A man wearing a black shirt with glasses slicing a tomato.	A man wearing a pink shirt with glasses slicing a tomato.						contradiction
5068								Two men drinking sprite.	Two men drinking coke.						contradiction
5067								Two men drinking sprite.	Two men drinking juice.						contradiction
5065								Two men drinking sprite.	Two men drinking coffee.						contradiction
5066								Two men drinking sprite.	Two men drinking tea.						contradiction
5069								Two men drinking sprite.	Two men drinking hot chocolate.						contradiction
4850								A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, pumpkin, onions, limes, apples and cauliflower with another person.						contradiction
4775								A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, tomato, onions, limes, apples and cauliflower with another person.						contradiction
4854								A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, cucumber, onions, limes, apples and cauliflower with another person.						contradiction
5272								Two male friends are riding the train together while relaxing and drinking beer.	Two male friends are riding the train together while relaxing and drinking tequila.						contradiction
5274								Two male friends are riding the train together while relaxing and drinking beer.	Two male friends are riding the train together while relaxing and drinking champagne.						contradiction
5273								Two male friends are riding the train together while relaxing and drinking beer.	Two male friends are riding the train together while relaxing and drinking gin.						contradiction
5270								Two male friends are riding the train together while relaxing and drinking beer.	Two male friends are riding the train together while relaxing and drinking whisky.						contradiction
5271								Two male friends are riding the train together while relaxing and drinking beer.	Two male friends are riding the train together while relaxing and drinking vodka.						contradiction
8095								Group of three people stand outside a building holding an over sized ukulele and an accordion.	Group of three people stand outside a building holding an over sized ukulele and a french horn.						contradiction
8098								Group of three people stand outside a building holding an over sized ukulele and an accordion.	Group of three people stand outside a building holding an over sized ukulele and a flute.						contradiction
8096								Group of three people stand outside a building holding an over sized ukulele and an accordion.	Group of three people stand outside a building holding an over sized ukulele and an instrument.						entailment
8097								Group of three people stand outside a building holding an over sized ukulele and an accordion.	Group of three people stand outside a building holding an over sized ukulele and an acoustic guitar.						contradiction
8099								Group of three people stand outside a building holding an over sized ukulele and an accordion.	Group of three people stand outside a building holding an over sized ukulele and a trumpet.						contradiction
2049								A man in a red jacket standing on the moon.	A man in a pink jacket standing on the moon.						contradiction
2046								A man in a red jacket standing on the moon.	A man in a purple jacket standing on the moon.						contradiction
2048								A man in a red jacket standing on the moon.	A man in a white jacket standing on the moon.						contradiction
2047								A man in a red jacket standing on the moon.	A man in a yellow jacket standing on the moon.						contradiction
2045								A man in a red jacket standing on the moon.	A man in a red jacket standing on the sun.						contradiction
7818								The man is inside playing the accordion.	The man is inside playing the clarinet.						contradiction
7819								The man is inside playing the accordion.	The man is inside playing the harp.						contradiction
7817								The man is inside playing the accordion.	The man is inside playing the banjo.						contradiction
7816								The man is inside playing the accordion.	The man is inside playing the oboe.						contradiction
7815								The man is inside playing the accordion.	The man is inside playing the tuba.						contradiction
1510								Workers cannot be seen in the dark.	Workers can be seen in the dark.						contradiction
5601								Three men outdoors smiling, drinking beer, and taking pictures.	Three men outdoors smiling, drinking gin, and taking pictures.						contradiction
5604								Three men outdoors smiling, drinking beer, and taking pictures.	Three men outdoors smiling, drinking cider, and taking pictures.						contradiction
5602								Three men outdoors smiling, drinking beer, and taking pictures.	Three men outdoors smiling, drinking whisky, and taking pictures.						contradiction
5600								Three men outdoors smiling, drinking beer, and taking pictures.	Three men outdoors smiling, drinking champagne, and taking pictures.						contradiction
5603								Three men outdoors smiling, drinking beer, and taking pictures.	Three men outdoors smiling, drinking tequila, and taking pictures.						contradiction
5230								A well dressed soothsayer is at a high-class party drinking champagne.	A well dressed soothsayer is at a high-class party drinking cider.						contradiction
5231								A well dressed soothsayer is at a high-class party drinking champagne.	A well dressed soothsayer is at a high-class party drinking whisky.						contradiction
5232								A well dressed soothsayer is at a high-class party drinking champagne.	A well dressed soothsayer is at a high-class party drinking tequila.						contradiction
5233								A well dressed soothsayer is at a high-class party drinking champagne.	A well dressed soothsayer is at a high-class party drinking vodka.						contradiction
5234								A well dressed soothsayer is at a high-class party drinking champagne.	A well dressed soothsayer is at a high-class party drinking gin.						contradiction
3723								A little girl is laughing as her mom holds her up to a pole at the playground.	A big girl is laughing as her mom holds her up to a pole at the playground.						contradiction
3721								A little girl is laughing as her mom holds her up to a pole at the playground.	A tiny girl is laughing as her mom holds her up to a pole at the playground.						entailment
3722								A little girl is laughing as her mom holds her up to a pole at the playground.	A small girl is laughing as her mom holds her up to a pole at the playground.						entailment
3720								A little girl is laughing as her mom holds her up to a pole at the playground.	A little girl is laughing as her mother holds her up to a pole at the playground.						entailment
3724								A little girl is laughing as her mom holds her up to a pole at the playground.	A large girl is laughing as her mom holds her up to a pole at the playground.						contradiction
8377								A male plays a banjo while sitting on a sofa.	A male plays a french horn while sitting on a sofa.						contradiction
8379								A male plays a banjo while sitting on a sofa.	A male plays an instrument while sitting on a sofa.						entailment
8378								A male plays a banjo while sitting on a sofa.	A male plays a flute while sitting on a sofa.						contradiction
8376								A male plays a banjo while sitting on a sofa.	A male plays a trumpet while sitting on a sofa.						contradiction
8375								A male plays a banjo while sitting on a sofa.	A male plays an acoustic guitar while sitting on a sofa.						contradiction
6613								A dog is sitting on the living room floor.	A dog is sitting on the courtroom floor.						contradiction
6612								A dog is sitting on the living room floor.	A dog is sitting on the bathroom floor.						contradiction
6614								A dog is sitting on the living room floor.	A dog is sitting on the bedroom floor.						contradiction
6611								A dog is sitting on the living room floor.	A dog is sitting on the dining room floor.						contradiction
6610								A dog is sitting on the living room floor.	A dog is sitting on the garage floor.						contradiction
2147								A huge inflatable santa slide with two people selling something on the side of the road	A huge inflatable santa slide with eleven people selling something on the side of the road						contradiction
2148								A huge inflatable santa slide with two people selling something on the side of the road	A huge inflatable santa slide with five people selling something on the side of the road						contradiction
2149								A huge inflatable santa slide with two people selling something on the side of the road	A huge inflatable santa slide with 9 people selling something on the side of the road						contradiction
2146								A huge inflatable santa slide with two people selling something on the side of the road	A huge inflatable santa slide with ten people selling something on the side of the road						contradiction
2145								A huge inflatable santa slide with two people selling something on the side of the road	A huge inflatable santa slide with two people buying something on the side of the road						contradiction
195								a woman is about to start painting outside	a woman is about to end painting outside						contradiction
196								a woman is about to start painting outside	a woman is about to finish painting outside						contradiction
197								a woman is about to start painting outside	a woman is about to start painting inside						contradiction
198								a woman is about to start painting outside	a woman is about to stop painting outside						contradiction
199								a woman is about to start painting outside	a man is about to start painting outside						contradiction
5237								Group of people drinking beer	Group of people drinking tequila						contradiction
5239								Group of people drinking beer	Group of people drinking gin						contradiction
5236								Group of people drinking beer	Group of people drinking vodka						contradiction
5238								Group of people drinking beer	Group of people drinking cider						contradiction
5235								Group of people drinking beer	Group of people drinking whisky						contradiction
7962								A man holds a cello.	A man holds an instrument.						entailment
7960								A man holds a cello.	A man holds an electric guitar.						contradiction
7963								A man holds a cello.	A man holds a trumpet.						contradiction
7964								A man holds a cello.	A man holds a french horn.						contradiction
7961								A man holds a cello.	A man holds an acoustic guitar.						contradiction
1177								A woman walking into the sun along a brick wall.	A woman walking into the sun along a plastic wall.						contradiction
1178								A woman walking into the sun along a brick wall.	A woman walking into the sun along a wood wall.						contradiction
1176								A woman walking into the sun along a brick wall.	A man walking into the sun along a brick wall.						contradiction
3144								Two female ice skaters, one wearing dark blue bent upwards, and the other wearing light blue bent downwards.	Two female ice skaters, one wearing dark blue bent downward, and the other wearing light blue bent downwards.						contradiction
3140								Two female ice skaters, one wearing dark blue bent upwards, and the other wearing light blue bent downwards.	Two female ice skaters, one wearing dark blue bent downwards, and the other wearing light blue bent downwards.						contradiction
3143								Two female ice skaters, one wearing dark blue bent upwards, and the other wearing light blue bent downwards.	Two female ice skaters, one wearing bright blue bent upwards, and the other wearing light blue bent downwards.						contradiction
3141								Two female ice skaters, one wearing dark blue bent upwards, and the other wearing light blue bent downwards.	Two female ice skaters, one wearing dark blue bent upwards, and the other wearing light blue bent upwards.						contradiction
4194								A little girl holds onto a pole on a city street.	A large girl holds onto a pole on a city street.						contradiction
4190								A little girl holds onto a pole on a city street.	A little girl holds onto a pole on a city road.						entailment
4192								A little girl holds onto a pole on a city street.	A small girl holds onto a pole on a city street.						entailment
4191								A little girl holds onto a pole on a city street.	A tiny girl holds onto a pole on a city street.						entailment
4193								A little girl holds onto a pole on a city street.	A little boy holds onto a pole on a city street.						contradiction
4145								A man looked very small, as he walked along the ancient building.	A man looked very small, as he walked along the old building.						entailment
4148								A man looked very small, as he walked along the ancient building.	A man looked very small, as he walked along the modern building.						contradiction
4146								A man looked very small, as he walked along the ancient building.	A man looked very tiny, as he walked along the ancient building.						entailment
4149								A man looked very small, as he walked along the ancient building.	A man looked very great, as he walked along the ancient building.						contradiction
4147								A man looked very small, as he walked along the ancient building.	A man looked very little, as he walked along the ancient building.						entailment
767								The boy watches his father start the yard work.	The girl watches his father start the yard work.						contradiction
766								The boy watches his father start the yard work.	The boy watches his father finish the yard work.						contradiction
765								The boy watches his father start the yard work.	The boy watches his father end the yard work.						contradiction
769								The boy watches his father start the yard work.	The boy watches his father stop the yard work.						contradiction
768								The boy watches his father start the yard work.	The boy watches his mother start the yard work.						contradiction
1487								The students combined their powers pushing the moon away from the Earth by 6 inches.	The students combined their powers pushing the moon away from the Earth by 8 inches.						contradiction
1485								The students combined their powers pushing the moon away from the Earth by 6 inches.	The students combined their powers pushing the sun away from the Earth by 6 inches.						contradiction
1489								The students combined their powers pushing the moon away from the Earth by 6 inches.	The students combined their powers pushing the moon away from the Earth by 9 inches.						contradiction
1488								The students combined their powers pushing the moon away from the Earth by 6 inches.	The students combined their powers pushing the moon away from the Earth by 4 inches.						contradiction
1486								The students combined their powers pushing the moon away from the Earth by 6 inches.	The students combined their powers pushing the moon away from the Earth by 12 inches.						contradiction
7311								The man rides his bicycle up the brick wall.	The man rides his bicycle up the glass wall.						contradiction
7314								The man rides his bicycle up the brick wall.	The man rides his bicycle up the cement wall.						contradiction
7313								The man rides his bicycle up the brick wall.	The man rides his bicycle up the bronze wall.						contradiction
7312								The man rides his bicycle up the brick wall.	The man rides his bicycle up the plastic wall.						contradiction
7026								There's a brick wall with a garage band in front of it.	There's a bronze wall with a garage band in front of it.						contradiction
7025								There's a brick wall with a garage band in front of it.	There's a glass wall with a garage band in front of it.						contradiction
7028								There's a brick wall with a garage band in front of it.	There's a wood wall with a garage band in front of it.						contradiction
7027								There's a brick wall with a garage band in front of it.	There's a plastic wall with a garage band in front of it.						contradiction
7029								There's a brick wall with a garage band in front of it.	There's a cement wall with a garage band in front of it.						contradiction
784								Two young men in space suits walk towards a camera on the moon, there is no one else around.	Two old men in space suits walk towards a camera on the moon, there is no one else around.						contradiction
783								Two young men in space suits walk towards a camera on the moon, there is no one else around.	Two senior men in space suits walk towards a camera on the moon, there is no one else around.						contradiction
781								Two young men in space suits walk towards a camera on the moon, there is no one else around.	Two young men in space suits walk towards a camera on the sun, there is no one else around.						contradiction
1728								A man in orange gives his son a piggyback ride down the street in the daytime.	A man in orange gives his son a piggyback ride down the road in the daytime.						entailment
1729								A man in orange gives his son a piggyback ride down the street in the daytime.	A man in orange gives his son a piggyback ride up the street in the daytime.						entailment
1726								A man in orange gives his son a piggyback ride down the street in the daytime.	A man in orange gives his girl a piggyback ride down the street in the daytime.						contradiction
1725								A man in orange gives his son a piggyback ride down the street in the daytime.	A man in orange gives his son a piggyback ride down the street in the nighttime.						contradiction
1727								A man in orange gives his son a piggyback ride down the street in the daytime.	A man in orange gives his son a piggyback ride down the street in the night.						contradiction
4773								A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions, eggs, tomatoes, beans, and many other things.	A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions, eggs, avocados, beans, and many other things.						neutral
4772								A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions, eggs, tomatoes, beans, and many other things.	A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions, eggs, eggplants, beans, and many other things.						neutral
4774								A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions, eggs, tomatoes, beans, and many other things.	A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions, eggs, carrots, beans, and many other things.						neutral
5010								A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions, eggs, tomatoes, beans, and many other things.	A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions, eggs, potatoes, beans, and many other things.						neutral
5013								A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions, eggs, tomatoes, beans, and many other things.	A woman wearing a patterned dress in an outdoor market sits surrounded by her offerings of onions, eggs, tomatoes, beans, and many familiar things.						entailment
5542								Man drinking beer	Man drinking whisky						contradiction
5540								Man drinking beer	Man drinking gin						contradiction
5544								Man drinking beer	Man drinking tequila						contradiction
5543								Man drinking beer	Man drinking vodka						contradiction
5541								Man drinking beer	Man drinking champagne						contradiction
6373								women taunt mechanics in a garage	women taunt mechanics in a common room						contradiction
6370								women taunt mechanics in a garage	women taunt mechanics in a lounge						contradiction
6372								women taunt mechanics in a garage	women taunt mechanics in an office						contradiction
6371								women taunt mechanics in a garage	women taunt mechanics in a dining room						contradiction
6374								women taunt mechanics in a garage	women taunt mechanics in a prison cell						contradiction
6782								Students are using their cellphones in the hallway.	Students are using their cellphones in the classroom.						contradiction
6781								Students are using their cellphones in the hallway.	Students are using their cellphones in the prison cell.						contradiction
6784								Students are using their cellphones in the hallway.	Students are using their cellphones in the bedroom.						contradiction
6783								Students are using their cellphones in the hallway.	Students are using their cellphones in the common room.						contradiction
6780								Students are using their cellphones in the hallway.	Students are using their cellphones in the courtroom.						contradiction
184								group of little men waiting for the game to start	group of large men waiting for the game to start						contradiction
180								group of little men waiting for the game to start	group of little men waiting for the game to end						contradiction
181								group of little men waiting for the game to start	group of little men waiting for the game to finish						contradiction
182								group of little men waiting for the game to start	group of wide men waiting for the game to start						contradiction
183								group of little men waiting for the game to start	group of big men waiting for the game to start						contradiction
7854								A trumpet player is wearing a black jacket and cap.	A piano player is wearing a black jacket and cap.						contradiction
7850								A trumpet player is wearing a black jacket and cap.	A french horn player is wearing a black jacket and cap.						contradiction
7853								A trumpet player is wearing a black jacket and cap.	An electric guitar player is wearing a black jacket and cap.						contradiction
7851								A trumpet player is wearing a black jacket and cap.	A flute player is wearing a black jacket and cap.						contradiction
7852								A trumpet player is wearing a black jacket and cap.	An instrument player is wearing a black jacket and cap.						entailment
3613								A little girl is very sad.	A small girl is very sad.						entailment
3614								A little girl is very sad.	A big girl is very sad.						contradiction
3610								A little girl is very sad.	A little girl is very miserable.						entailment
3611								A little girl is very sad.	A little girl is very unhappy.						entailment
3612								A little girl is very sad.	A tiny girl is very sad.						entailment
3866								A little girl in a green shirt and pink shorts is running up a grassy hill near a pavilion.	A tiny girl in a green shirt and pink shorts is running up a grassy hill near a pavilion.						entailment
3869								A little girl in a green shirt and pink shorts is running up a grassy hill near a pavilion.	A little girl in a brown shirt and pink shorts is running up a grassy hill near a pavilion.						contradiction
3865								A little girl in a green shirt and pink shorts is running up a grassy hill near a pavilion.	A little girl in a green shirt and pink shorts is running up a grassy hill close to a pavilion.						entailment
3867								A little girl in a green shirt and pink shorts is running up a grassy hill near a pavilion.	A small girl in a green shirt and pink shorts is running up a grassy hill near a pavilion.						entailment
2038								a man wearing a red coat is outside with his hand over his head to block out the sun.	a man wearing a brown coat is outside with his hand over his head to block out the sun.						contradiction
2035								a man wearing a red coat is outside with his hand over his head to block out the sun.	a man wearing a red coat is outside with his hand over his head to block out the moon.						contradiction
2036								a man wearing a red coat is outside with his hand over his head to block out the sun.	a man wearing a black coat is outside with his hand over his head to block out the sun.						contradiction
2039								a man wearing a red coat is outside with his hand over his head to block out the sun.	a woman wearing a red coat is outside with his hand over his head to block out the sun.						contradiction
1436								In an Asian country a soon to start mandatory town meeting is being hosted inside a giant red building .	In an Asian country a soon to start mandatory town meeting is being hosted inside a tiny red building .						contradiction
1439								In an Asian country a soon to start mandatory town meeting is being hosted inside a giant red building .	In an Asian country a soon to start mandatory town meeting is being hosted inside a giant yellow building .						contradiction
1437								In an Asian country a soon to start mandatory town meeting is being hosted inside a giant red building .	In an Asian country a soon to start mandatory town meeting is being hosted inside a giant orange building .						contradiction
1435								In an Asian country a soon to start mandatory town meeting is being hosted inside a giant red building .	In an Asian country a soon to end mandatory town meeting is being hosted inside a giant red building .						contradiction
1438								In an Asian country a soon to start mandatory town meeting is being hosted inside a giant red building .	In an Asian country a soon to start mandatory town meeting is being hosted inside a giant white building .						contradiction
4063								A small group of people standing while two sit on the couch.	A small group of people running while two sit on the couch.						entailment
4062								A small group of people standing while two sit on the couch.	A little group of people standing while two sit on the couch.						entailment
4061								A small group of people standing while two sit on the couch.	A tiny group of people standing while two sit on the couch.						entailment
4064								A small group of people standing while two sit on the couch.	A big group of people standing while two sit on the couch.						contradiction
4060								A small group of people standing while two sit on the couch.	A small group of people standing while two sit on the sofa.						entailment
